model_variant,n,behavior_auc_mean,behavior_auc_std,behavior_accuracy_mean,behavior_accuracy_std,behavior_aod_gap_mean,behavior_aod_gap_std,behavior_eod_gap_mean,behavior_eod_gap_std,behavior_eodds_max_gap_mean,behavior_eodds_max_gap_std,behavior_dp_gap_mean,behavior_dp_gap_std,source_threshold_auc_mean,source_threshold_auc_std,source_threshold_accuracy_mean,source_threshold_accuracy_std,source_threshold_aod_gap_mean,source_threshold_aod_gap_std,source_threshold_eod_gap_mean,source_threshold_eod_gap_std,source_threshold_eodds_max_gap_mean,source_threshold_eodds_max_gap_std,source_threshold_dp_gap_mean,source_threshold_dp_gap_std,mechanism_pair_abs_mean_mean,mechanism_pair_abs_mean_std,mechanism_pair_abs_q95_mean,mechanism_pair_abs_q95_std,mechanism_main_abs_logit_mean_mean,mechanism_main_abs_logit_mean_std,mechanism_cf_abs_prob_mean_mean,mechanism_cf_abs_prob_mean_std,mechanism_cf_flip_rate_mean,mechanism_cf_flip_rate_std,mechanism_proxy_score_gap_cond_mean_mean,mechanism_proxy_score_gap_cond_mean_std,mechanism_proxy_effect_gap_mean_mean,mechanism_proxy_effect_gap_mean_std,mechanism_boundary_proxy_score_gap_cond_mean_mean,mechanism_boundary_proxy_score_gap_cond_mean_std,mechanism_boundary_proxy_effect_gap_mean_mean,mechanism_boundary_proxy_effect_gap_mean_std,mechanism_higher_order_proxy_gap_scope_mean_mean,mechanism_higher_order_proxy_gap_scope_mean_std,mechanism_higher_order_boundary_proxy_gap_scope_mean_mean,mechanism_higher_order_boundary_proxy_gap_scope_mean_std
adv,120,0.845869654825047,0.010228459367496756,0.8583017575443848,0.012785930137834441,0.08981764021766013,0.03935560751759004,0.05887053253502182,0.032570299774729826,0.12095243644311718,0.04928138432301827,0.14537114600340525,0.04743723728550847,0.845869654825047,0.010228459367496756,0.8534170245533615,0.012605556630545786,0.02460947308218466,0.018326679303563947,0.0093281083870376,0.012255741407520641,0.04017548238950999,0.02797260306047839,0.060346764822800956,0.033335081715671344,0.2546683310220639,0.05839066228566292,0.6997848354528347,0.17760787240932557,0.5236184430619081,0.13497604114869216,0.06326093558842937,0.02118210939344207,0.05536600748697917,0.027512990794423667,0.6013033005408943,0.19516797234572622,0.28896633349359035,0.05773505407360648,0.04711708931135945,0.02784325492211399,0.25457046627998353,0.07551514295165818,0.13148434003815054,0.038283394307644034,0.14317718328287204,0.046031134972101276
blind,120,0.8436890570573049,0.012037080353044438,0.8579934410212611,0.013399568549597318,0.047816769982911705,0.026711565050984612,0.029235009462750785,0.020577238614126938,0.06697208012319257,0.035118204121239206,0.10672607223192851,0.03818075254815146,0.8436890570573049,0.012037080353044438,0.8545185269849914,0.011959958671115685,0.0215655816735904,0.015710262405730462,0.008246799957423157,0.009059926407504687,0.03520644554949623,0.025365766353298888,0.05352820654710134,0.027879239366317362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3705055931117386,0.12966523005844868,0.24225552715361118,0.048172409834136065,0.04136201742173095,0.024751196892632103,0.22090685243407884,0.07403947575858402,0.11438010738541683,0.026947870012171957,0.14524335283786058,0.04450223978036968
erm,120,0.8463217536517864,0.010608675942140305,0.8593877314177452,0.012049904501512698,0.09402948273556305,0.03783346355217513,0.060966894172337825,0.03150023128966854,0.12709512508114398,0.04742608006261863,0.1487942824761073,0.045835637030247255,0.8463217536517864,0.010608675942140305,0.8537950030705486,0.013272697040921757,0.024900915834787665,0.018202143057324545,0.009812379226482256,0.011344949985564167,0.04041934296574971,0.028646970222978928,0.05984518478314082,0.03222974089166383,0.29235927673677603,0.05159039773445616,0.8221910562614598,0.15640236403716853,0.7193733148276806,0.1085505205218212,0.08136027157306672,0.01860129062606474,0.0607330322265625,0.02694219522797573,0.7883257823064923,0.17265040887865143,0.31969342989226185,0.054055869029667664,0.04354709288066563,0.02226762335056842,0.2871142207334439,0.06935443982047433,0.15380262471735479,0.037055300916867026,0.17053690552711487,0.04175079677093809
no_interaction,120,0.8403624310343288,0.009308968222064553,0.85581081731064,0.011818953799956455,0.02472849559834982,0.019885525636225396,0.0113828917501055,0.013855401343421165,0.038487671819552434,0.028888623954219907,0.06551712056001027,0.0345165589639972,0.8403624310343288,0.009308968222064553,0.8502508348492965,0.014218851595837318,0.017503924646136555,0.015015077877409713,0.005773104748502539,0.00896797678836251,0.029511675645443117,0.024020201831006536,0.05324104974667231,0.028668904150624862,0.14342903333405654,0.03618146047389334,0.43398081966365365,0.11786776444564602,0.20258060010770956,0.059564425226200673,0.02396868363333245,0.0064936967815392,0.017450968424479168,0.00608760308840418,0.14119652858935297,0.08309807405288352,0.22673928358902534,0.04758339256976705,0.049315810684735575,0.025021743016761935,0.17307359122981628,0.0496381490004148,0.0684352652169764,0.01990188826132325,0.07853639631842574,0.024502537701357463
repair_main0,120,0.8377778849576099,0.014150863045868892,0.8549408490977096,0.01721130955555117,0.01954425355032658,0.014931705617671567,0.009087878647330138,0.010642031194448974,0.030664889469507066,0.022306559868085572,0.06783143877983093,0.027244407456939942,0.8377778849576099,0.014150863045868892,0.846641384765941,0.017347409643358146,0.015301962196298712,0.011098406603697599,0.00458982086891917,0.006331987979230887,0.02613805818277787,0.01890744871698962,0.047527582446734114,0.02107436657325458,0.0062875033977131045,0.001968051713606647,0.017994645689614116,0.005424904908602195,0.05617346324531051,0.035992281306880015,0.006269204040048256,0.004077927581594183,0.0034759521484375,0.002483811945870442,0.11432182840071618,0.057940768323447266,0.04271425953290115,0.014826399534819585,0.04286632235938062,0.023279030082663073,0.051821376041819654,0.018004248797844114,0.039612888870760796,0.012038206821145347,0.040383712062612175,0.011838271545406582
repair_main05,120,0.8380595371940137,0.011402538102547526,0.8554704148892547,0.01311139509705654,0.01807096407898366,0.013005072119671474,0.007084966495993394,0.00781623711296798,0.02936889268864618,0.020550506547603656,0.06338579406340918,0.024733185329559537,0.8380595371940137,0.011402538102547526,0.8473747010094077,0.0151997613152179,0.014279256175806724,0.009785386521947853,0.00373988046799044,0.00495433931403457,0.025025126105344884,0.017202026914436164,0.04733416587114334,0.021847807037120533,0.0038544987949232262,0.0015783595446512246,0.01173795850947499,0.004748264543547174,0.007912922300359544,0.0064178573693518225,0.0009960620453057345,0.0008397474068400746,0.0006876627604166667,0.0006753028716494464,0.1107199827209115,0.06148389139901336,0.03978295428678393,0.010878707560081888,0.04402592253560821,0.02709901777252807,0.049198071705177426,0.013373733254261208,0.03559398308085899,0.010903257074551278,0.038209687701116005,0.010360772664682999
reweight,120,0.8353048049153026,0.010873372711881586,0.8072397492714839,0.02937556122593676,0.03303042633856463,0.022013700733967682,0.024969269096185746,0.021971097843204546,0.04410651246440457,0.028069714072484483,0.08661431098977725,0.0439701286457921,0.8353048049153026,0.010873372711881586,0.8459602143108105,0.02472802588401976,0.0260488178006699,0.018304285876662156,0.011322577821939173,0.01365737445575437,0.041473892386661194,0.027839932368291458,0.06263651773333549,0.03694192320501308,0.25737239699810743,0.12721233653062666,0.7054678454746802,0.34163149926926656,0.33493893792231877,0.18363263566491145,0.04832968797224264,0.019665522307295933,0.05377604166666667,0.016515033450825882,0.19715247762699922,0.1347541490515656,0.26984508112072947,0.07496173800577442,0.04084798954718281,0.027594573639684476,0.267200018838048,0.08331536254439409,0.13416980211623014,0.06116878901458974,0.14877271180351576,0.06328359948130328
score_only,120,0.8413762424229975,0.00905121693721531,0.8567986933741639,0.0122336626667908,0.041576066092529396,0.03310218504821625,0.02368274025176654,0.02430063572899342,0.05980375066937442,0.04386511543964018,0.09558842678864797,0.044797604283593834,0.8413762424229975,0.00905121693721531,0.8511535249282205,0.014535597964240778,0.021727162323667164,0.017479252568834928,0.007939812597852964,0.010728325872603514,0.03595084782984619,0.02786428527717844,0.05492301980654399,0.030742185127674175,0.1688656907528639,0.04640058771380776,0.4952661922946572,0.14028419477299547,0.25355174069603287,0.06487037024138935,0.0286143198919793,0.009444253862732423,0.0233123779296875,0.01319328270261051,0.16113464727532117,0.09379729967097741,0.2498157501220703,0.04803573595682064,0.04920746616553515,0.027958930998267757,0.21567744097361963,0.06262077746269165,0.07655947295327982,0.020684767328240667,0.09050216730684042,0.029629354442992268
wrong_spec,120,0.8316558904058631,0.0105467525850245,0.8490364133130711,0.011843803801964072,0.2227544982243102,0.06572535728926755,0.15030238961694156,0.06881756791162087,0.2952066068316789,0.07425301496030244,0.24278289179007212,0.08520019257350633,0.8316558904058631,0.0105467525850245,0.8354716936768068,0.021031456829244816,0.021937764819293052,0.02017721569547714,0.007145240056489986,0.01110864804103964,0.036996316550457715,0.0325234824315025,0.04188090314467748,0.031003233589337185,0.654294615238905,0.12693388026031832,1.1123771458367504,0.24983084270617228,0.9662467554211617,0.24506263713969087,0.13392324888457854,0.043187687856621734,0.14818318684895834,0.06832318319138656,1.0734605628997087,0.28770632890097164,0.595820314437151,0.10719329854848525,0.13359244400635362,0.04814466749860919,0.6232639158765475,0.11552074892772597,0.09184238457431396,0.026780567081283766,0.10831955342243114,0.031057326333744004
